CarID,Brand,Model,Year,Price,Mileage,Fuel,Color,Owner,Location
1,,Corolla,2012,50000,60000,,Red,Third,Miami
2,Tesla,Corolla,,25000,30000,Hybrid,Gray,,
3,Honda,Model S,2018,40000,45000, Diesel ,Red,,
4,,Mustang ,2012,,,Petrol,White,Second,Houston
5,BMW,Civic,2015,20000,75000,Petrol,White,First,Los Angeles
6,Hyundai,,,60000,100000,Hybrid,Blue,Third,Houston
7,Honda,,2020,,45000,Petrol,Silver,,Phoenix
8,Honda,Civic,2015,25000,45000,Electric,White,Third,New York
9,,Mustang ,2018,40000,100000,Hybrid,,First,Los Angeles
10,Ford,Model S,2015,25000,75000,Hybrid,Blue,,Phoenix
11,BMW,,,20000,30000,,Blue,First,Los Angeles
12,,Focus,2020,25000,15000, Diesel ,Black,, Chicago 
13,BMW,,2020,50000,45000,,White,Third,Los Angeles
14,BMW,Model S,,50000,60000, Diesel ,Gray,Second,Los Angeles
15,Hyundai,Corolla,2018,40000,60000, Diesel ,,Second,Houston
16,Honda,Corolla,,40000,75000,,Red,,
17,Tesla,Corolla,2015,40000,60000, Diesel ,Blue,,Phoenix
18,Hyundai,Model S,,20000,60000,Electric,Gray,Second,Miami
19,Hyundai,Corolla,2020,60000,15000,,Blue,,Phoenix
20,BMW,Mustang ,2018,25000,15000, Diesel ,,First,Houston
21, Nissan ,Corolla,,20000,60000,Petrol,,,New York
22,Honda,Model S,2020,20000,,,Gray,Second,Phoenix
23,Ford,Focus,,25000,15000,Hybrid,Red,,Los Angeles
24,Hyundai,,2010,,100000,Hybrid,,Third, Chicago 
25,Tesla,Model S,2010,25000,100000,Petrol,Black,First,
26, Nissan ,Model S,2020,50000,45000,Hybrid,Red,,
27, Nissan ,Civic,2018,20000,15000,Petrol,,Second,Miami
28,Ford,Corolla,2010,30000,75000,Petrol,White,,Houston
29,Hyundai,Accord,2020,,, Diesel ,White,Second,Miami
30,Tesla,Focus,,60000,15000,Electric,Red,First,
31,Honda,Accord,2012,,15000,Petrol,White,Third,
32,Toyota,Civic,,30000,45000,Petrol,Gray,,Los Angeles
33,Tesla,Focus,2015,60000,30000,,Blue,,
34,Ford,Corolla,2020,,75000, Diesel ,Gray,First,Miami
35, Nissan ,Accord,2010,25000,30000,Petrol,Silver,Third,Miami
36,Honda,Corolla,2020,30000,,Electric,Silver,Third,Phoenix
37,Tesla,Corolla,,60000,30000,Electric,Silver,Second,Los Angeles
38,Toyota,,2018,30000,,,Black,,Phoenix
39,Toyota,Focus,2010,30000,15000, Diesel ,Gray,,Phoenix
40,BMW,Focus,2018,25000,15000,,Gray,, Chicago 
